"periode_data","nama_provinsi","nama_kabupaten_kota","nama_kecamatan","nama_kelurahan","jenis_kelamin","usia","jumlah"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK UTARA","perempuan","0 s.d 4 tahun","1735"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN","perempuan","0 s.d 4 tahun","1935"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN","perempuan","0 s.d 4 tahun","2110"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING","perempuan","0 s.d 4 tahun","2368"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA","perempuan","0 s.d 4 tahun","2850"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA","perempuan","0 s.d 4 tahun","1133"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU","perempuan","0 s.d 4 tahun","3745"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR","perempuan","0 s.d 4 tahun","1657"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN","perempuan","0 s.d 4 tahun","1830"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT","perempuan","0 s.d 4 tahun","3389"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR","perempuan","0 s.d 4 tahun","1487"
"2013","PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT","perempuan","0 s.d 4 tahun","3590"
"2013","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","P. PANGGANG","Laki-Laki","0 s.d 4 tahun","279"
"2013","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","P. KELAPA","Laki-Laki","0 s.d 4 tahun","116"
"2013","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","P. HARAPAN","Laki-Laki","0 s.d 4 tahun","297"
"2013","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","P. UNTUNG JAWA","Laki-Laki","0 s.d 4 tahun","199"
"2013","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","P. TIDUNG","Laki-Laki","0 s.d 4 tahun","97"
"2013","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","P. PARI","Laki-Laki","0 s.d 4 tahun","119"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki-Laki","0 s.d 4 tahun","95"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG","Laki-Laki","0 s.d 4 tahun","557"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA","Laki-Laki","0 s.d 4 tahun","701"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN","Laki-Laki","0 s.d 4 tahun","562"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki-Laki","0 s.d 4 tahun","410"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki-Laki","0 s.d 4 tahun","959"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki-Laki","0 s.d 4 tahun","446"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki-Laki","0 s.d 4 tahun","1257"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki-Laki","0 s.d 4 tahun","902"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki-Laki","0 s.d 4 tahun","634"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki-Laki","0 s.d 4 tahun","1263"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki-Laki","0 s.d 4 tahun","882"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki-Laki","0 s.d 4 tahun","1293"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA","Laki-Laki","0 s.d 4 tahun","1094"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SERDANG","Laki-Laki","0 s.d 4 tahun","1388"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN","Laki-Laki","0 s.d 4 tahun","839"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU","Laki-Laki","0 s.d 4 tahun","1558"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU","Laki-Laki","0 s.d 4 tahun","1070"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG","Laki-Laki","0 s.d 4 tahun","1361"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","SENEN","Laki-Laki","0 s.d 4 tahun","326"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI","Laki-Laki","0 s.d 4 tahun","356"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN","Laki-Laki","0 s.d 4 tahun","1018"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT","Laki-Laki","0 s.d 4 tahun","1355"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KWITANG","Laki-Laki","0 s.d 4 tahun","710"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR","Laki-Laki","0 s.d 4 tahun","795"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR","Laki-Laki","0 s.d 4 tahun","996"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH BARAT","Laki-Laki","0 s.d 4 tahun","1594"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI","Laki-Laki","0 s.d 4 tahun","928"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG","Laki-Laki","0 s.d 4 tahun","1124"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN","Laki-Laki","0 s.d 4 tahun","994"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","CIKINI","Laki-Laki","0 s.d 4 tahun","387"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA","Laki-Laki","0 s.d 4 tahun","128"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH","Laki-Laki","0 s.d 4 tahun","632"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA","Laki-Laki","0 s.d 4 tahun","125"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","BENDUNGAN HILIR","Laki-Laki","0 s.d 4 tahun","873"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN","Laki-Laki","0 s.d 4 tahun","860"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","PETAMBURAN","Laki-Laki","0 s.d 4 tahun","1671"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI","Laki-Laki","0 s.d 4 tahun","1629"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG","Laki-Laki","0 s.d 4 tahun","929"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI","Laki-Laki","0 s.d 4 tahun","561"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU","Laki-Laki","0 s.d 4 tahun","1699"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","KAMPUNG RAWA","Laki-Laki","0 s.d 4 tahun","1140"
"2013","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR","Laki-Laki","0 s.d 4 tahun","895"
