"periode_data","tahun","nama_provinsi","nama_kabupaten_kota","nama_kecamatan","jenis_kelamin","jumlah","keterangan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","Perempuan","82","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","Laki-laki","138","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","Perempuan","155","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","Laki-laki","541","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","Perempuan","572","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","Laki-laki","58","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","Perempuan","67","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","Laki-laki","109","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","Perempuan","93","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","Laki-laki","537","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","Perempuan","582","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","Laki-laki","279","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","Perempuan","279","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","Laki-laki","117","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","Perempuan","126","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","Laki-laki","1498","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","Perempuan","1505","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","Laki-laki","113","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","Perempuan","153","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","Laki-laki","215","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","Perempuan","276","Antar Kecamatan dalam 1 Kota"
