"periode_data","wilayah","kecamatan","kelurahan","jumlah_penduduk","jumlah_kepadatan"
"2024","KOTA ADM. JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI","45230","71993.81"
"2024","KOTA ADM. JAKARTA UTARA","PENJARINGAN","PENJARINGAN","112592","24871.61"
"2024","KOTA ADM. JAKARTA UTARA","PENJARINGAN","KAMAL MUARA","19042","1221.74"
"2024","KOTA ADM. JAKARTA UTARA","PENJARINGAN","KAPUK MUARA","47531","5179.99"
"2024","KOTA ADM. JAKARTA UTARA","PENJARINGAN","PEJAGALAN","87481","23777.3"
"2024","KOTA ADM. JAKARTA UTARA","PENJARINGAN","PLUIT","59439","8137.41"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","TANJUNG PRIOK","41574","10793.5"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","SUNTER JAYA","78441","15271.43"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO","49310","16048.02"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","SUNGAI BAMBU","36328","15275.45"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG","59854","34872.63"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG","86275","16413.24"
"2024","KOTA ADM. JAKARTA UTARA","TANJUNG PRIOK","WARAKAS","54659","50479.29"
"2024","KOTA ADM. JAKARTA UTARA","KOJA","KOJA","33858","13171.42"
"2024","KOTA ADM. JAKARTA UTARA","KOJA","TUGU UTARA","85429","35798.93"
"2024","KOTA ADM. JAKARTA UTARA","KOJA","LAGOA","74047","47076.72"
"2024","KOTA ADM. JAKARTA UTARA","KOJA","RAWA BADAK UTARA","43213","34247.55"
"2024","KOTA ADM. JAKARTA UTARA","KOJA","TUGU SELATAN","51401","27692.08"
"2024","KOTA ADM. JAKARTA UTARA","KOJA","RAWA BADAK SELATAN","54331","27017.64"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","CILINCING","58944","8099.82"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","SUKAPURA","67285","11692.41"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","MARUNDA","40280","4978.24"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","KALIBARU","87119","17587.56"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","SEMPER TIMUR","46105","10366.93"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","ROROTAN","59582","6068.82"
"2024","KOTA ADM. JAKARTA UTARA","CILINCING","SEMPER BARAT","86414","26848.61"
"2024","KOTA ADM. JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR","46190","13212.7"
"2024","KOTA ADM. JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT","90146","59439.52"
"2024","KOTA ADM. JAKARTA UTARA","PADEMANGAN","ANCOL","30251","3677.92"
"2024","KOTA ADM. JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR","39721","12680.8"
"2024","KOTA ADM. JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA","60781","10966.89"
"2024","KOTA ADM. JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT","44409","6141.34"
"2024","KOTA ADM. JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT","82755","20994.54"
"2024","KOTA ADM. JAKARTA BARAT","CENGKARENG","DURI KOSAMBI","102410","19137.46"
"2024","KOTA ADM. JAKARTA BARAT","CENGKARENG","RAWA BUAYA","81548","21950.2"
"2024","KOTA ADM. JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE","40898","13718.65"
"2024","KOTA ADM. JAKARTA BARAT","CENGKARENG","KAPUK","171169","33396.39"
"2024","KOTA ADM. JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR","103008","22385.95"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL","19456","19299.09"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA","19407","14614.24"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG","34484","19232.58"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR","34562","22472.69"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN","29637","21840.27"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU","45294","30206.3"
"2024","KOTA ADM. JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA","47333","20514.43"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","TAMAN SARI","16485","24235.89"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","KRUKUT","22980","41676.51"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","MAPHAR","18690","29677"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","TANGKI","14899","38852"
"2024","KOTA ADM. JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA","69794","16678.81"
"2024","KOTA ADM. JAKARTA BARAT","KEMBANGAN","MERUYA UTARA","55394","13623.05"
"2024","KOTA ADM. JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN","42256","13117.21"
"2024","KOTA ADM. JAKARTA BARAT","KEMBANGAN","SRENGSENG","58005","12716.87"
"2024","KOTA ADM. JAKARTA BARAT","KEMBANGAN","JOGLO","51870","11845.93"
"2024","KOTA ADM. JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN","33943","7521.4"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","TEBET TIMUR","20855","15840.82"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","TEBET BARAT","24533","14940.42"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","MENTENG DALAM","42737","17640.39"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","KEBON BARU","41690","32800.69"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","BUKIT DURI","40340","37612.79"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","MANGGARAI SELATAN","27185","48728.33"
"2024","KOTA ADM. JAKARTA SELATAN","TEBET","MANGGARAI","33978","31908.48"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","SETIA BUDI","3385","5034.11"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","KARET SEMANGGI","3379","3737.17"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","KARET KUNINGAN","19285","11328.33"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","KARET","11041","11137.49"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","MANGGA BESAR","8455","15412.5"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","KEAGUNGAN","20670","58459.64"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","GLODOK","8583","23276.03"
"2024","KOTA ADM. JAKARTA BARAT","TAMAN SARI","PINANGSIA","12147","12390.18"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","TAMBORA","11907","41337.72"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","KALI ANYAR","27881","89234.76"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","DURI UTARA","22553","60944.96"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","TANAH SEREAL","30683","48953.21"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","KRENDANG","23976","71679.61"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","JEMBATAN BESI","35451","67879.99"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","ANGKE","33742","42439.22"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","JEMBATAN LIMA","24458","51666.92"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","PEKOJAN","27063","34746.9"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","ROA MALAKA","3635","6870.42"
"2024","KOTA ADM. JAKARTA BARAT","TAMBORA","DURI SELATAN","16712","43574.89"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","KEBON JERUK","69300","18798.52"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA","48544","30833.48"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN","46543","27769.59"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","KELAPA DUA","29469","20665.25"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","DURI KEPA","72411","19775.42"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA","56755","17771.02"
"2024","KOTA ADM. JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN","39619","16270.65"
"2024","KOTA ADM. JAKARTA BARAT","KALIDERES","KALIDERES","92060","16318.97"
"2024","KOTA ADM. JAKARTA BARAT","KALIDERES","SEMANAN","93024","17361.92"
"2024","KOTA ADM. JAKARTA BARAT","KALIDERES","TEGAL ALUR","106960","19134.52"
"2024","KOTA ADM. JAKARTA BARAT","KALIDERES","KAMAL","72063","14816.25"
"2024","KOTA ADM. JAKARTA BARAT","KALIDERES","PEGADUNGAN","99969","13289.1"
"2024","KOTA ADM. JAKARTA BARAT","PAL MERAH","PALMERAH","76498","34697.51"
"2024","KOTA ADM. JAKARTA BARAT","PAL MERAH","SLIPI","19964","20474.76"
"2024","KOTA ADM. JAKARTA BARAT","PAL MERAH","KOTA BAMBU UTARA","30290","45471.34"
"2024","KOTA ADM. JAKARTA BARAT","PAL MERAH","JATIPULO","34409","41204.04"
"2024","KOTA ADM. JAKARTA BARAT","PAL MERAH","KEMANGGISAN","38051","18110.23"
"2024","KOTA ADM. JAKARTA BARAT","PAL MERAH","KOTA BAMBU SELATAN","26630","45566.44"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","MENTENG ATAS","32600","31229.64"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","PASAR MANGGIS","32145","41308.78"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","GUNTUR","4342","6612.54"
"2024","KOTA ADM. JAKARTA SELATAN","SETIABUDI","KUNINGAN TIMUR","6970","3208.29"
"2024","KOTA ADM. JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN","21679","27062.49"
"2024","KOTA ADM. JAKARTA SELATAN","MAMPANG PRAPATAN","BANGKA","25400","7992.55"
"2024","KOTA ADM. JAKARTA SELATAN","MAMPANG PRAPATAN","PELA MAMPANG","50718","26166.48"
"2024","KOTA ADM. JAKARTA SELATAN","MAMPANG PRAPATAN","TEGAL PARANG","39718","37894.4"
"2024","KOTA ADM. JAKARTA SELATAN","MAMPANG PRAPATAN","KUNINGAN BARAT","14922","15244.25"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU","29575","15276.41"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","JATI PADANG","44657","18633.58"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","CILANDAK TIMUR","29677","7742.04"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","RAGUNAN","47824","10020.94"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","PEJATEN TIMUR","71236","24269.59"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","PEJATEN BARAT","44628","15082.17"
"2024","KOTA ADM. JAKARTA SELATAN","PASAR MINGGU","KEBAGUSAN","57094","20517.99"
"2024","KOTA ADM. JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA UTARA","51430","22203.04"
"2024","KOTA ADM. JAKARTA SELATAN","KEBAYORAN LAMA","PONDOK PINANG","68588","10102.43"
"2024","KOTA ADM. JAKARTA SELATAN","KEBAYORAN LAMA","CIPULIR","49164","29212.29"
"2024","KOTA ADM. JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA","50318","15236.8"
"2024","KOTA ADM. JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL SELATAN","53599","18593.78"
"2024","KOTA ADM. JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA SELATAN","48936","23498.36"
"2024","KOTA ADM. JAKARTA SELATAN","CILANDAK","CILANDAK BARAT","59968","10168.13"
"2024","KOTA ADM. JAKARTA SELATAN","CILANDAK","LEBAK BULUS","46467","10630.31"
"2024","KOTA ADM. JAKARTA SELATAN","CILANDAK","PONDOK LABU","56793","16263.19"
"2024","KOTA ADM. JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN","26193","16380.67"
