Title,Bedrooms,Bathrooms,Carports,Agent,Price_num,Installment_num,Land_sqm,Building_sqm,Area,City,Price_sqm,property_type,price_per_land_m2,price_segment,land_building_ratio,Price_sqm_M,query,lat,lon
Rumah 2 Lantai Di Cilandak Cipete Dekat Ke Stasiun Mrt Haji Nawi,5,5,2,Ecko Adiamsah,9000000000.0,38000000,270,216,Cilandak,Jakarta Selatan,41666666.67,Residential,33333333.0,5–10B,1.25,41.666666670000005,"Cilandak, Jakarta Selatan, Indonesia",-6.2897982,106.7969264
Rumah penginapan nuansa villa medieranian di cilandak ada pool,10,7,5,Ecko Adiamsah,11500000000.0,48000000,694,705,Cilandak,Jakarta Selatan,16312056.74,Residential,16570605.0,10–50B,0.98,16.31205674,"Cilandak, Jakarta Selatan, Indonesia",-6.2897982,106.7969264
Exclusive listing Rumah Mewah di Pondok Indah ( WW ),4,3,4,Narain Bharwani,27500000000.0,116000000,430,800,Pondok Indah,Jakarta Selatan,34375000.0,Residential,63953488.0,10–50B,0.54,34.375,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Dijual Rumah 2 Lantai Pondok Indah Baru Renov (MM),3,3,1,Narain Bharwani,9500000000.0,40000000,180,192,Pondok Indah,Jakarta Selatan,49479166.67,Residential,52777778.0,5–10B,0.94,49.479166670000005,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Turun Harga Rumah Cantik Classic Pondok Indah Ir Yn,3,2,1,Narain Bharwani,8700000000.0,36000000,240,375,Pondok Indah,Jakarta Selatan,23200000.0,Residential,36250000.0,5–10B,0.64,23.2,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Rumah Mewah Brand New Kemang Lokasi Bebas Banjirlp Ww Ff,5,5,2,Narain Bharwani,9000000000.0,38000000,174,280,Kemang,Jakarta Selatan,32142857.14,Residential,51724138.0,5–10B,0.62,32.142857140000004,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
Dijual Cepat Rumah Posisi Hoek Siap Huni As yn,4,4,2,Narain Bharwani,11000000000.0,46000000,261,350,Pondok Indah,Jakarta Selatan,31428571.43,Residential,42145594.0,10–50B,0.75,31.428571429999998,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Dijual Cepat Rumah Posisi Hoek Pondok Indah WW FF,6,5,2,Narain Bharwani,35000000000.0,148000000,768,825,Pondok Indah,Jakarta Selatan,42424242.42,Residential,45572917.0,10–50B,0.93,42.42424242,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
"Rumah 2 Lantai Bagus Shm, Alam Segar, Jakarta Selatan",3,2,1,Narain Bharwani,4750000000.0,20000000,120,160,Pondok Indah,Jakarta Selatan,29687500.0,Residential,39583333.0,2–5B,0.75,29.6875,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Harga Terbaik Hitung Tanah Jalan Lebar Lokasi Tenang Pondok Indah,3,2,2,Dona,12200000000.0,51000000,340,250,Pondok Indah,Jakarta Selatan,48800000.0,Residential,35882353.0,10–50B,1.36,48.8,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Dijual Rumah Lokasi Strategis Bintaro Jaya Sektor 1 Area Usaha,3,4,1,Karina Putri Arindra,5000000000.0,21000000,180,286,Bintaro,Jakarta Selatan,17482517.48,Residential,27777778.0,2–5B,0.63,17.482517480000002,"Bintaro, Jakarta Selatan, Indonesia",-6.2682262,106.7648364
Rumah Minimalis 2 Lantai Di Cluster Paradise Bintaro,4,3,1,Deity Tiwa,2600000000.0,11000000,146,120,Bintaro,Jakarta Selatan,21666666.67,Residential,17808219.0,2–5B,1.22,21.66666667,"Bintaro, Jakarta Selatan, Indonesia",-6.2682262,106.7648364
Dijual Classic House Kemang Ampera Jakarta Selatan,5,4,3,Davin Wjy,16000000000.0,67000000,752,300,Kemang,Jakarta Selatan,53333333.33,Residential,21276596.0,10–50B,2.51,53.333333329999995,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
"Rumah di Daerah Jagakarsa, Jakarta Selatan Full Furnish",3,2,3,Davin Wjy,5800000000.0,24000000,300,200,Jagakarsa,Jakarta Selatan,29000000.0,Residential,19333333.0,5–10B,1.5,29.0,"Jagakarsa, Jakarta Selatan, Indonesia",-6.3301011,106.8222371
"Dijual Luxury House di Daerah Kemang, Jakarta Selatan",6,7,2,Davin Wjy,10500000000.0,44000000,449,500,Kemang,Jakarta Selatan,21000000.0,Residential,23385301.0,10–50B,0.9,21.0,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
Dijual Townhouse At Kemang Ampera Jakarta Selatan,4,3,3,Davin Wjy,6870000000.0,29000000,187,361,Kemang,Jakarta Selatan,19030470.91,Residential,36737968.0,5–10B,0.52,19.030470910000002,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
Dijual Brand New Cilandak Townhouse Belakang Citos,5,4,2,Kristo Hosea,11900000000.0,50000000,216,400,Cilandak,Jakarta Selatan,29750000.0,Residential,55092593.0,10–50B,0.54,29.75,"Cilandak, Jakarta Selatan, Indonesia",-6.2897982,106.7969264
"Brand New House di Senopati Area, Kebayoran Baru Jakarta Selatan",4,4,1,Pranowo Lukito,37000000000.0,156000000,328,571,Kebayoran Baru,Jakarta Selatan,64798598.95,Residential,112804878.0,10–50B,0.57,64.79859895,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
"Rumah Siap Huni di Kawasan Senopati Area, Jakarta Selatan",4,3,2,Pranowo Lukito,10700000000.0,45000000,220,300,Senopati,Jakarta Selatan,35666666.67,Residential,48636364.0,10–50B,0.73,35.666666670000005,"Senopati, Jakarta Selatan, Indonesia",-6.2307381,106.8082373
"Rumah Hunian Lama di Brawijaya Kebayoran Baru, Jakarta Selatan",6,6,4,Pranowo Lukito,37000000000.0,156000000,572,336,Kebayoran Baru,Jakarta Selatan,110119047.6,Residential,64685315.0,10–50B,1.7,110.11904759999999,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
"Rumah Hunian di Senopati Area Kebayoran Baru, Dekat Blok S Jakarta Selatan",4,3,1,Pranowo Lukito,18000000000.0,76000000,385,300,Senopati,Jakarta Selatan,60000000.0,Residential,46753247.0,10–50B,1.28,60.0,"Senopati, Jakarta Selatan, Indonesia",-6.2307381,106.8082373
"Rumah Murah di Kawasan Senopati Area Daerah Strategis, Jakarta Selatan",4,3,1,Pranowo Lukito,14700000000.0,62000000,226,190,Senopati,Jakarta Selatan,77368421.05,Residential,65044248.0,10–50B,1.19,77.36842105,"Senopati, Jakarta Selatan, Indonesia",-6.2307381,106.8082373
"Rumah Siap Huni Jarang ada di Kawasan Senopati Area Daerah Strategis, Jakarta Selatan",5,4,1,Pranowo Lukito,29000000000.0,122000000,401,650,Senopati,Jakarta Selatan,44615384.62,Residential,72319202.0,10–50B,0.62,44.61538462,"Senopati, Jakarta Selatan, Indonesia",-6.2307381,106.8082373
"Rumah Hunian Murah di Kawasan Senopati Area Daerah Strategis, Jarang Ada",4,5,2,Pranowo Lukito,24000000000.0,101000000,408,300,Senopati,Jakarta Selatan,80000000.0,Residential,58823529.0,10–50B,1.36,80.0,"Senopati, Jakarta Selatan, Indonesia",-6.2307381,106.8082373
"Rumah Siap Huni Depan Taman di Kebayoran Baru, One Gate Access. Jarang Ada",3,3,1,Pranowo Lukito,12500000000.0,52000000,276,224,Kebayoran Baru,Jakarta Selatan,55803571.43,Residential,45289855.0,10–50B,1.23,55.80357143,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Hot Sale Rumah Cipete Siap Huni Dekat Mrt,5,4,6,Diana Syauta,13500000000.0,57000000,916,356,Cipete,Jakarta Selatan,37921348.31,Residential,14737991.0,10–50B,2.57,37.92134831,"Cipete, Jakarta Selatan, Indonesia",-6.2783596,106.7973159
Hot Deal Rumah Mewah American Classic Permata Hijau,5,5,8,Diana Syauta,75000000000.0,317000000,1380,1000,Permata Hijau,Jakarta Selatan,75000000.0,Residential,54347826.0,> 50B,1.38,75.0,"Permata Hijau, Jakarta Selatan, Indonesia",-6.2214188,106.7832234
HOT PRICE Rumah Siap Huni Delman Tanah Kusir Good Access,4,3,2,Diana Syauta,7500000000.0,31000000,286,295,Kebayoran Lama,Jakarta Selatan,25423728.81,Residential,26223776.0,5–10B,0.97,25.42372881,"Kebayoran Lama, Jakarta Selatan, Indonesia",-6.2491277,106.7777818
Rumah Baru Pondok Indah Murah Ada Private Lift,5,6,2,Diana Syauta,25000000000.0,105000000,489,647,Pondok Indah,Jakarta Selatan,38639876.35,Residential,51124744.0,10–50B,0.76,38.63987635,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
"Rumah Nyaman Lokasi Strategis di Tebet Timur Dalam, Jakarta Selatan",5,5,2,H. Rasad,4000000000.0,16000000,156,150,Tebet,Jakarta Selatan,26666666.67,Residential,25641026.0,2–5B,1.04,26.66666667,"Tebet, Jakarta Selatan, Indonesia",-6.2263977,106.8584389
Dijual Rumah Dengan Halaman Luas Di Mampang Prapatan Jakarta Selatan,4,4,2,Rizal Arrashy,16000000000.0,67000000,900,300,Mampang Prapatan,Jakarta Selatan,53333333.33,Residential,17777778.0,10–50B,3.0,53.333333329999995,"Mampang Prapatan, Jakarta Selatan, Indonesia",-6.2508944,106.8230222
Rumah Murah Senopati Area Kebayoran Baru,7,4,1,Rifqi Zakariya,8800000000.0,37000000,259,300,Kebayoran Baru,Jakarta Selatan,29333333.33,Residential,33976834.0,5–10B,0.86,29.33333333,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Rumah Nyaman Lokasi Strategis Dalam Komplek Besar,4,3,1,Muhammad Ridwan,7500000000.0,31000000,376,472,Lebak Bulus,Jakarta Selatan,15889830.51,Residential,19946809.0,5–10B,0.8,15.88983051,"Lebak Bulus, Jakarta Selatan, Indonesia",-6.3025678,106.7803539
5 Bedroom Rumah Bagus di Pondok Indah Kondisi Masih Tersewa,5,5,3,Tantea H,35000000000.0,148000000,550,765,Pondok Indah,Jakarta Selatan,45751633.99,Residential,63636364.0,10–50B,0.72,45.75163399,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Rumah Siap Huni Di Kawasan Elite Jakarta Selatan 1390,6,6,2,Fendi Lie,47000000000.0,199000000,940,693,Pondok Indah,Jakarta Selatan,67821067.82,Residential,50000000.0,10–50B,1.36,67.82106782,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Dijual Modern House 2 Lantai Dekat Dengan Mrt Lebak Bulus,3,2,1,Zaenal Arifin,1700000000.0,7000000,60,93,Cirendeu,Jakarta Selatan,18279569.89,Residential,28333333.0,1–2B,0.65,18.27956989,"Cirendeu, Jakarta Selatan, Indonesia",-6.289906,106.7687136
